1 Centro Histórico                                                                ,2 Buenavista-Reforma                                                              ,3 Tlatelolco                                                                      ,4 Morelos                                                                         ,5 Moctezuma                                                                       ,6 Balbuena                                                                        ,7 Obrera                                                                          ,8 Condesa                                                                         ,9 Nápoles                                                                         ,10 Vértiz Narvarte                                                                 ,11 Reforma Iztaccíhuatl                                                            ,12 Palacio de los Deportes                                                         ,13 San Andrés Tetepilco                                                            ,14 Portales                                                                        ,15 Del Valle                                                                       ,16 Chapultepec-Polanco                                                             ,17 Panteones                                                                       ,18 Tezozómoc                                                                       ,19 El Rosario                                                                      ,20 Industrial Vallejo                                                              ,21 La Raza                                                                         ,22 Cuautepec                                                                       ,23 Reclusorio Norte                                                                ,24 Ticomán                                                                         ,25 Nueva Industrial Vallejo                                                        ,26 Instituto Politécnico                                                           ,27 Tepeyac                                                                         ,28 La Villa                                                                        ,29 Nueva Atzacoalco                                                                ,30 San Felipe de Jesús                                                             ,31 Deportivo los Galeana                                                           ,32 Bondojito                                                                       ,33 San Juan de Aragón                                                              ,34 Aeropuerto                                                                      ,35 Pantitlán                                                                       ,36 Zaragoza                                                                        ,37 UPIICSA                                                                         ,38 Central de Abastos                                                              ,39 UAM Iztapalapa                                                                  ,40 Escuadrón 201                                                                   ,41 Parque Cerro de la Estrella                                                     ,42 Lomas Estrella                                                                  ,43 Canal Nacional                                                                  ,44 Coapa                                                                           ,45 Culhuacán CTM                                                                   ,46 Campestre Churubusco                                                            ,47 Viveros                                                                         ,48 Pedregal de Santo Domingo                                                       ,49 Xotepingo                                                                       ,50 Estadio Azteca                                                                  ,51 Ciudad Universitaria                                                            ,52 Olivar de los Padres-San Jerónimo                                               ,53 Las Águilas                                                                     ,54 Santa Lucia                                                                     ,55 Molinos                                                                         ,56 Santa Fe                                                                        ,57 Observatorio                                                                    ,58 Las Lomas                                                                       ,59 Cuajimalpa                                                                      ,60 San Lorenzo Acopilco                                                            ,61 San Bartolo-San Mateo                                                           ,62 Cerro del Judío                                                                 ,63 La Magdalena Contreras                                                          ,64 Villa Olímpica                                                                  ,65 Padierna                                                                        ,66 San Pedro Mártir                                                                ,67 Pueblo del Ajusco                                                               ,68 Tepepan                                                                         ,69 Noria                                                                           ,70 Nativitas                                                                       ,71 Milpa Alta                                                                      ,72 Tulyehualco                                                                     ,73 El Molino Tezonco                                                               ,74 Tláhuac                                                                         ,75 Mixquic                                                                         ,76 Santa Catarina                                                                  ,77 Reclusorio Oriente                                                              ,78 Desarrollo Urbano Quetzalcóatl                                                  ,79 Buenavista Iztapalapa                                                           ,80 Santa María Xalpa                                                               ,81 San Miguel Teotongo                                                             ,82 Santa Martha Acatitla                                                           ,83 Juan Escutia                                                                    ,84 Santa Cruz Meyehualco                                                           ,85 Ejército Constitucionalista                                                     
70895,12474,16855,10910,10448,9127,8522,5779,2432,5198,3030,7362,4769,4612,3473,5784,3754,3151,2103,3336,6252,1958,3739,2850,4600,4359,3993,2681,4043,3005,4291,4278,4346,116,5087,2918,3456,3187,2405,3460,3145,3833,3821,3320,3480,4077,4144,3804,2694,1440,1763,1621,862,1810,2921,1868,2484,1579,2471,506,1187,2537,1274,1621,2716,2668,1152,2762,3372,1919,2375,2321,2283,1442,1189,2315,4014,2323,3208,3038,1901,4170,3757,3169,2655
13314,85240,19832,4799,5988,4301,6013,13606,4832,3374,1203,2174,3886,2920,5294,10428,6550,2629,2904,4524,14298,1183,3153,1291,3410,4077,2431,5022,3266,2728,2838,2825,1318,52,3465,1816,1367,2256,1802,1823,1934,1262,1485,2756,1334,932,3368,2811,1269,851,2430,2175,2300,1756,1821,2042,2754,1920,1912,204,1010,612,869,2674,1416,1617,355,1769,783,1284,351,405,1180,823,383,339,893,1635,671,832,1164,1388,1319,1136,733
15254,19880,88186,6639,1657,898,3657,3141,684,663,219,357,592,1759,2337,4290,977,1544,1554,2553,4048,599,1093,969,2861,6597,1768,7214,2463,1431,815,2457,1385,554,484,223,284,296,331,475,675,0,130,726,1217,223,1148,999,51,210,1095,113,226,0,565,574,231,859,161,0,162,520,534,660,444,415,228,234,0,73,160,0,239,83,0,117,121,303,317,618,102,270,405,0,280
10625,4981,6734,69745,14820,17286,2510,3305,1461,448,591,2396,1507,1087,1647,1990,598,373,757,532,1495,89,230,502,928,2360,821,2121,1194,757,995,6581,3359,487,1723,2775,1976,1047,453,377,717,595,1230,1008,498,641,1446,353,253,226,1160,356,400,312,633,439,754,737,642,0,381,129,423,412,255,136,282,418,112,0,426,104,434,159,242,170,304,368,565,615,1251,1928,1335,375,763
10365,6492,1781,15412,72862,5333,1439,3107,1535,497,66,968,709,627,1864,2343,1169,576,518,634,1509,0,320,313,1389,2000,101,1286,1614,1173,1982,2963,4668,786,2231,2069,732,833,256,325,95,498,362,165,226,499,1736,162,119,507,1211,273,0,75,104,136,113,245,111,0,188,316,325,278,157,123,0,130,124,215,0,113,110,376,0,104,97,266,91,419,398,1349,1034,282,729
9106,4252,756,17654,5129,62741,4908,4374,697,3100,2276,6376,2237,1364,2864,2967,1112,607,582,265,1355,0,628,327,414,553,691,1431,1536,823,1052,2114,687,0,3574,4941,4083,1708,981,1939,1237,271,2016,1088,611,1395,1855,744,1210,404,1382,392,753,581,546,722,749,1378,696,116,102,117,516,640,456,372,0,240,405,607,546,260,125,916,429,248,577,1977,1180,757,1034,959,785,2226,1397
10101,5260,3932,2554,1439,4438,62211,9146,2829,7156,2592,2808,2237,4290,3624,2720,1092,901,945,1017,1455,588,666,339,957,986,664,801,373,309,609,1080,1145,0,1811,678,2565,646,1150,909,2108,1587,2324,966,1286,1614,1591,1214,1037,391,1371,707,1109,1058,991,1661,2071,518,1423,133,1480,1018,944,1551,891,661,145,542,599,318,411,448,982,709,704,512,2030,952,683,937,717,989,1603,1184,1142
5593,13680,3535,3473,3227,4067,8327,72322,6851,6623,1755,2586,4566,2133,11296,18271,2826,1783,2003,1530,4578,575,1980,572,1695,1714,560,1357,723,1306,1825,652,2338,128,3051,836,1874,2236,1671,675,1278,1244,1797,2146,1697,2151,5118,1747,1233,897,2871,2793,2013,1782,3171,2188,5115,3773,2472,293,1517,1121,2003,2966,1144,1719,627,1788,1034,628,333,482,843,711,330,658,840,1374,821,839,527,1137,703,831,1749
2552,5185,615,1320,1654,869,3148,6515,28015,6068,1089,1528,1639,3191,15514,7956,757,434,280,1490,1651,250,692,314,1116,629,329,1685,1243,740,282,207,1169,162,1517,760,1797,959,805,715,308,944,1009,2101,2747,1888,3886,1495,1655,623,2975,1302,3659,3575,2128,4974,3030,3201,1635,151,767,716,1886,1845,1218,401,108,1356,325,732,318,324,76,454,226,386,683,1108,0,416,357,0,348,627,656
5832,3674,663,892,602,3574,7217,5910,5792,31231,2775,2698,3497,6743,8131,2906,888,96,0,732,920,0,435,237,596,844,157,1048,190,361,199,92,422,402,778,757,1336,922,711,881,407,1124,712,1212,2290,1197,2733,267,1225,739,1681,598,1124,744,765,362,469,807,619,0,75,232,850,1385,376,318,327,230,539,420,632,646,484,232,373,183,221,368,416,199,363,357,304,621,1629
