"Distrito","Vecinos"
1,"006,004,003,002,008,007"
2,"001,003,026,016,021,008,007"
3,"004,001,032,028,026,021,002"
4,"006,036,005,001,003,032,028"
5,"036,004,033,032"
6,"011,012,036,004,001,010,007"
7,"011,006,001,002,010,009,008"
8,"001,016,002,010,009,007"
9,"016,015,010,008,007,055"
10,"011,013,006,014,009,008,007"
11,"013,006,012,010,007"
12,"011,013,006,038,037,036"
13,"011,012,040,038,046,014,010"
14,"013,047,015,010"
15,"047,014,009,055,053"
16,"017,021,002,110,102,009,008,057,058"
17,"018,016,019,021,020,110"
18,"017,019,110"
19,"018,017,020,113,110"
20,"026,025,114,017,019,021,113"
21,"003,026,016,017,020,002"
22,"140,141,147,024,023,115,129"
23,"025,114,024,115,022"
24,"140,025,023,022"
25,"139,028,026,027,114,024,023,020"
26,"003,028,027,025,021,020,002"
27,"139,029,032,028,026,025"
28,"004,003,032,026,027,025"
29,"150,139,031,030,032,027"
30,"151,150,029,031,152"
31,"029,030,033,153,032,152"
32,"029,031,004,005,033,003,028,027"
33,"031,034,005,153,032"
34,"035,036,033,153"
35,"177,176,085,082,037,036,034,153"
36,"006,012,037,035,004,034,005"
37,"012,085,082,038,035,036"
38,"013,012,040,085,039,037"
39,"040,085,038,041,084,078"
40,"013,039,038,041,046"
41,"040,039,042,078,046"
42,"041,043,073,077,078,046"
43,"042,073,044,046,045,069"
44,"043,045,069,068,050,049,064"
45,"043,044,046,049"
46,"013,040,041,042,043,045,047"
47,"046,051,048,049,014,015,053,052"
48,"051,047,050,049"
49,"044,045,051,047,048,050"
50,"044,051,048,049,064"
51,"047,048,050,049,064,063,052"
52,"051,047,053,061,062,063"
53,"047,015,055,054,061,052"
54,"055,056,059,053,061"
55,"015,009,056,057,053,054"
56,"055,057,058,059,054"
57,"016,055,056,058"
58,"016,101,102,056,057,059"
59,"101,100,056,058,054,060,061"
60,"100,059,061"
61,"059,053,054,060,062,052"
62,"061,063,052,065,067"
63,"051,064,062,052,065"
64,"044,068,051,050,066,063,065"
65,"064,066,062,063,067"
66,"068,064,065,067"
67,"068,070,071,066,062,065"
68,"044,069,070,064,066,067"
69,"043,073,044,068,070,072"
70,"069,068,072,071,067"
71,"070,072,075,206,067"
72,"073,074,069,070,071,075"
73,"042,043,077,074,069,072"
74,"076,073,077,072,075"
75,"076,081,074,201,072,071,206"
76,"081,077,074,078,075"
77,"042,076,073,074,078"
78,"039,041,042,084,076,079,077"
79,"084,080,078"
80,"083,084,079,081"
81,"082,083,193,192,076,080,199,075"
82,"181,178,177,085,083,182,192,037,035,081"
83,"085,082,084,081,080"
84,"085,083,039,079,080,078"
85,"082,083,039,038,037,035,084"
100,"101,104,102,121,111,120,108,107,059,060"
101,"102,100,058,059"
102,"016,105,110,101,103,104,100,058"
103,"105,104,102"
104,"105,106,103,102,100,107"
105,"109,110,106,103,104,102"
106,"109,105,104,108,107"
107,"106,104,100,108"
108,"109,106,100,111,107"
109,"112,105,110,106,111,108"
110,"018,016,017,019,112,113,109,105,102"
111,"112,116,109,117,119,100,120,108"
112,"115,116,113,109,110,127,128,111"
113,"114,115,019,020,112,110"
114,"025,023,115,020,113"
115,"114,023,022,129,112,113,128"
116,"112,127,117,118,111"
117,"116,118,119,111"
118,"116,126,117,119,123"
119,"117,118,121,111,120,123"
120,"119,121,100,111"
121,"119,122,100,120,123"
122,"125,128,132,133,121,123"
123,"124,125,126,118,119,122,121"
124,"125,126,128,123"
125,"124,128,122,123"
126,"124,127,128,118,123"
127,"112,116,126,128"
128,"115,129,130,131,112,124,125,126,127,132,122"
129,"138,141,115,022,130,128"
130,"136,138,137,129,131,128"
131,"136,135,130,128,132"
132,"135,131,128,133,122"
133,"135,134,132,122"
134,"135,166,300,133"
135,"164,136,134,165,166,131,132,133"
136,"144,145,135,137,130,131"
137,"144,136,138,142,130"
138,"137,142,141,129,130"
139,"150,140,149,029,027,025"
140,"139,149,024,022"
141,"138,142,143,147,022,129"
142,"144,138,137,141,143"
143,"144,142,141,146"
144,"145,136,137,142,143,146"
145,"144,136"
146,"162,164,158,144,143,147"
147,"158,149,141,148,146,022"
148,"158,150,149,147"
149,"150,139,140,148,147"
150,"158,151,139,149,157,148,029,030"
151,"150,155,157,030"
152,"155,031,030,153,154"
153,"176,035,173,031,034,033,152,154"
154,"173,155,156,153,152"
155,"151,156,157,152,154"
156,"155,157,160,154"
157,"158,159,151,150,155,156,160"
158,"162,159,150,157,148,147,146"
159,"161,162,158,173,157,160"
160,"173,159,156,157"
161,"169,162,173,159"
162,"161,169,164,163,168,158,159,146"
163,"162,164,168,165,167"
164,"162,163,135,165,146"
165,"164,163,135,166,167"
166,"135,134,165,167,171,300"
167,"163,168,165,166,171"
168,"169,162,163,167,171"
169,"161,162,168,173,170,171"
170,"172,169,173,171"
171,"172,175,169,168,170,166,167,300"
172,"174,175,173,170,171"
173,"183,179,176,172,189,174,161,169,159,186,170,187,160,153,154"
174,"191,172,189,175,173"
175,"197,191,172,174,171"
176,"178,177,179,035,173,153"
177,"178,176,082,035"
178,"181,180,177,179,176,082"
179,"183,178,180,176,173"
180,"181,183,178,179,182"
181,"178,180,082,182"
182,"181,183,180,082,184"
183,"180,179,185,182,184,173,186"
184,"183,185,182,192"
185,"183,192,184,186,190"
186,"183,185,173,187,188"
187,"189,173,186,188"
188,"191,189,186,187,190"
189,"191,174,173,187,188"
190,"185,193,192,191,188"
192,"185,082,193,184,081,190"
193,"192,081,194,195,191,190"
194,"193,199,200,202,198,195"
195,"193,194,198,196,204,197,191"
196,"198,195,197"
197,"196,195,204,205,191,175"
198,"194,202,196,195,204"
199,"081,194,201,200"
200,"194,199,201,202"
201,"199,200,202,203,075,206"
202,"194,201,200,203,198,204"
203,"201,202,204,206,205"
204,"202,203,198,195,197,205"
205,"203,204,206,197,207"
206,"201,203,071,075,205,207"
207,"206,205"
300,"134,166,171"
191,"193,195,197,189,174,175,188,190"
