nodo_origen,nodo_destino,camino
1,2,"Any[Any[-99.1611, 19.4221], Any[-99.1611, 19.422], Any[-99.161, 19.4215]]"
2,10843,"Any[Any[-99.161, 19.4215], Any[-99.1609, 19.4211], Any[-99.1609, 19.4211], Any[-99.1609, 19.421], Any[-99.1609, 19.421]]"
4,5,"Any[Any[-99.1572, 19.4213], Any[-99.157, 19.4206]]"
5,8084,"Any[Any[-99.157, 19.4206], Any[-99.1563, 19.4207]]"
7,8,"Any[Any[-99.1618, 19.4232], Any[-99.1616, 19.4226]]"
8,1899,"Any[Any[-99.1616, 19.4226], Any[-99.1622, 19.4224]]"
10,11,"Any[Any[-99.1594, 19.4246], Any[-99.1596, 19.4246], Any[-99.1612, 19.4242]]"
10,8452,"Any[Any[-99.1594, 19.4246], Any[-99.1596, 19.4246], Any[-99.1602, 19.4245]]"
11,1875,"Any[Any[-99.1612, 19.4242], Any[-99.1646, 19.4234]]"
13,14,"Any[Any[-99.165, 19.4206], Any[-99.1639, 19.4209]]"
13,3287,"Any[Any[-99.165, 19.4206], Any[-99.1651, 19.4212]]"
14,5793,"Any[Any[-99.1639, 19.4209], Any[-99.1641, 19.4203]]"
16,17,"Any[Any[-99.1627, 19.4242], Any[-99.1627, 19.4243], Any[-99.1622, 19.4252]]"
16,5772,"Any[Any[-99.1627, 19.4242], Any[-99.1628, 19.4242], Any[-99.1628, 19.4243]]"
17,4006,"Any[Any[-99.1622, 19.4252], Any[-99.1623, 19.4251], Any[-99.1624, 19.4251]]"
17,12532,"Any[Any[-99.1622, 19.4252], Any[-99.1621, 19.4253], Any[-99.162, 19.4256]]"
19,20,"Any[Any[-99.1586, 19.4306], Any[-99.1585, 19.4309], Any[-99.1584, 19.431], Any[-99.1583, 19.4312], Any[-99.1581, 19.4312], Any[-99.158, 19.4313], Any[-99.1579, 19.4313]]"
20,3568,"Any[Any[-99.1579, 19.4313], Any[-99.1575, 19.4312]]"
22,23,"Any[Any[-99.178, 19.4236], Any[-99.1771, 19.4234]]"
23,100,"Any[Any[-99.1771, 19.4234], Any[-99.1766, 19.4234], Any[-99.176, 19.4233]]"
25,26,"Any[Any[-99.1608, 19.4247], Any[-99.1613, 19.4256]]"
25,12185,"Any[Any[-99.1608, 19.4247], Any[-99.1604, 19.425]]"
26,8755,"Any[Any[-99.1613, 19.4256], Any[-99.1619, 19.4253]]"
28,29,"Any[Any[-99.1644, 19.4269], Any[-99.1643, 19.4269], Any[-99.1637, 19.4272]]"
29,31,"Any[Any[-99.1637, 19.4272], Any[-99.1639, 19.4276]]"
31,32,"Any[Any[-99.1639, 19.4276], Any[-99.1632, 19.4279]]"
31,7591,"Any[Any[-99.1639, 19.4276], Any[-99.1642, 19.4281], Any[-99.1642, 19.4281]]"
32,10778,"Any[Any[-99.1632, 19.4279], Any[-99.1628, 19.4271]]"
34,35,"Any[Any[-99.1661, 19.4256], Any[-99.1663, 19.4259]]"
34,10154,"Any[Any[-99.1661, 19.4256], Any[-99.1667, 19.4253]]"
37,38,"Any[Any[-99.1688, 19.4255], Any[-99.1686, 19.4256]]"
38,10790,"Any[Any[-99.1686, 19.4256], Any[-99.1681, 19.4246]]"
40,41,"Any[Any[-99.1695, 19.4229], Any[-99.17, 19.4238]]"
40,7537,"Any[Any[-99.1695, 19.4229], Any[-99.169, 19.4231]]"
41,9646,"Any[Any[-99.17, 19.4238], Any[-99.1707, 19.4234]]"
43,44,"Any[Any[-99.1697, 19.4245], Any[-99.1692, 19.4247]]"
43,8252,"Any[Any[-99.1697, 19.4245], Any[-99.1694, 19.424]]"
44,8142,"Any[Any[-99.1692, 19.4247], Any[-99.1696, 19.4256]]"
46,47,"Any[Any[-99.1723, 19.4182], Any[-99.1729, 19.418]]"
46,2387,"Any[Any[-99.1723, 19.4182], Any[-99.1724, 19.4185]]"
49,50,"Any[Any[-99.1753, 19.4203], Any[-99.1744, 19.4205]]"
49,1195,"Any[Any[-99.1753, 19.4203], Any[-99.1754, 19.4207]]"
50,12084,"Any[Any[-99.1744, 19.4205], Any[-99.1743, 19.4201]]"
52,46,"Any[Any[-99.1722, 19.4179], Any[-99.1723, 19.4182]]"
52,53,"Any[Any[-99.1722, 19.4179], Any[-99.1729, 19.4178]]"
55,56,"Any[Any[-99.1707, 19.4199], Any[-99.1706, 19.4197]]"
55,3277,"Any[Any[-99.1707, 19.4199], Any[-99.1698, 19.4202]]"
58,59,"Any[Any[-99.1701, 19.4214], Any[-99.1686, 19.4218]]"
58,5468,"Any[Any[-99.1701, 19.4214], Any[-99.17, 19.421]]"
59,4180,"Any[Any[-99.1686, 19.4218], Any[-99.1688, 19.4222]]"
61,62,"Any[Any[-99.1529, 19.4243], Any[-99.1529, 19.4243], Any[-99.153, 19.4242], Any[-99.1531, 19.4242], Any[-99.1533, 19.4242]]"
61,10170,"Any[Any[-99.1529, 19.4243], Any[-99.1529, 19.4243], Any[-99.1528, 19.4242], Any[-99.1527, 19.4242]]"
62,8411,"Any[Any[-99.1533, 19.4242], Any[-99.1537, 19.4242]]"
64,65,"Any[Any[-99.1556, 19.4245], Any[-99.1551, 19.4246]]"
64,6229,"Any[Any[-99.1556, 19.4245], Any[-99.1557, 19.4243], Any[-99.1558, 19.4242], Any[-99.156, 19.4241], Any[-99.1561, 19.424]]"
65,6561,"Any[Any[-99.1551, 19.4246], Any[-99.1552, 19.4251]]"
67,68,"Any[Any[-99.1559, 19.4232], Any[-99.1556, 19.4232], Any[-99.1556, 19.4233]]"
67,7339,"Any[Any[-99.1559, 19.4232], Any[-99.1556, 19.4222]]"
68,11389,"Any[Any[-99.1556, 19.4233], Any[-99.155, 19.4234]]"
70,71,"Any[Any[-99.1548, 19.4224], Any[-99.1548, 19.422]]"
70,7344,"Any[Any[-99.1548, 19.4224], Any[-99.154, 19.4226]]"
73,74,"Any[Any[-99.1339, 19.4199], Any[-99.1339, 19.42], Any[-99.1339, 19.4203], Any[-99.1339, 19.4204]]"
73,6924,"Any[Any[-99.1339, 19.4199], Any[-99.1338, 19.42]]"
74,237,"Any[Any[-99.1339, 19.4204], Any[-99.1339, 19.4205], Any[-99.1339, 19.4206], Any[-99.134, 19.4206]]"
76,77,"Any[Any[-99.1516, 19.4542], Any[-99.1515, 19.4547], Any[-99.1513, 19.455], Any[-99.1511, 19.4552]]"
77,1610,"Any[Any[-99.1511, 19.4552], Any[-99.1509, 19.4555], Any[-99.1507, 19.4557], Any[-99.1502, 19.456], Any[-99.15, 19.4562]]"
79,76,"Any[Any[-99.1518, 19.4534], Any[-99.1516, 19.4542]]"
81,82,"Any[Any[-99.1388, 19.4652], Any[-99.1395, 19.4652], Any[-99.1401, 19.4653], Any[-99.1406, 19.4653]]"
82,1198,"Any[Any[-99.1406, 19.4653], Any[-99.1407, 19.4653], Any[-99.1412, 19.4654]]"
84,85,"Any[Any[-99.1437, 19.4644], Any[-99.1436, 19.4643], Any[-99.1435, 19.4642], Any[-99.1433, 19.464], Any[-99.1433, 19.4638], Any[-99.1432, 19.4637], Any[-99.1431, 19.4637], Any[-99.143, 19.4637], Any[-99.1429, 19.4636], Any[-99.1428, 19.4636], Any[-99.1427, 19.4636]]"
85,87,"Any[Any[-99.1427, 19.4636], Any[-99.1425, 19.4636], Any[-99.1424, 19.4636], Any[-99.1423, 19.4637], Any[-99.1423, 19.4638], Any[-99.1421, 19.4641]]"
87,88,"Any[Any[-99.1421, 19.4641], Any[-99.142, 19.4643], Any[-99.1419, 19.4648], Any[-99.1418, 19.465]]"
87,1546,"Any[Any[-99.1421, 19.4641], Any[-99.1418, 19.4645], Any[-99.1415, 19.4648], Any[-99.1414, 19.4649], Any[-99.1413, 19.465], Any[-99.1412, 19.465], Any[-99.1411, 19.465], Any[-99.1409, 19.4651], Any[-99.1403, 19.4651]]"
88,2902,"Any[Any[-99.1418, 19.465], Any[-99.1411, 19.4657], Any[-99.1409, 19.466], Any[-99.1407, 19.4663], Any[-99.1406, 19.4666], Any[-99.1405, 19.4667], Any[-99.1405, 19.4668]]"
90,91,"Any[Any[-99.1421, 19.4657], Any[-99.1423, 19.4656], Any[-99.1424, 19.4655], Any[-99.1425, 19.4654], Any[-99.1425, 19.4653], Any[-99.1427, 19.4649], Any[-99.1428, 19.4647], Any[-99.1429, 19.4645]]"
90,1430,"Any[Any[-99.1421, 19.4657], Any[-99.1423, 19.4657], Any[-99.1424, 19.4656]]"
91,161,"Any[Any[-99.1429, 19.4645], Any[-99.1433, 19.4638], Any[-99.1441, 19.4628], Any[-99.1445, 19.4623], Any[-99.1446, 19.4621], Any[-99.1452, 19.4614]]"
93,94,"Any[Any[-99.134, 19.434], Any[-99.1341, 19.4336], Any[-99.1341, 19.4333], Any[-99.134, 19.4332]]"
93,1339,"Any[Any[-99.134, 19.434], Any[-99.1339, 19.435], Any[-99.1339, 19.4351]]"
94,1897,"Any[Any[-99.134, 19.4332], Any[-99.134, 19.4327]]"
96,97,"Any[Any[-99.1769, 19.4245], Any[-99.1768, 19.4246], Any[-99.1766, 19.4246], Any[-99.1765, 19.4245], Any[-99.1763, 19.4243], Any[-99.1762, 19.424], Any[-99.1762, 19.4238], Any[-99.1762, 19.4237], Any[-99.1763, 19.4236], Any[-99.1765, 19.4236], Any[-99.1767, 19.4235]]"
96,4848,"Any[Any[-99.1769, 19.4245], Any[-99.1765, 19.4251], Any[-99.1761, 19.4258]]"
97,9753,"Any[Any[-99.1767, 19.4235], Any[-99.1771, 19.4236]]"
99,100,"Any[Any[-99.1777, 19.423], Any[-99.1776, 19.4232], Any[-99.1774, 19.4233], Any[-99.1773, 19.4233], Any[-99.1771, 19.4234], Any[-99.1763, 19.4232], Any[-99.1762, 19.4232], Any[-99.176, 19.4233]]"
99,4101,"Any[Any[-99.1777, 19.423], Any[-99.1776, 19.4232], Any[-99.1776, 19.4234], Any[-99.1775, 19.4236]]"
100,7268,"Any[Any[-99.176, 19.4233], Any[-99.1757, 19.4233]]"
102,103,"Any[Any[-99.1771, 19.4248], Any[-99.1772, 19.4247], Any[-99.1777, 19.4239], Any[-99.1777, 19.4238], Any[-99.1778, 19.4238], Any[-99.1779, 19.4238], Any[-99.178, 19.4239], Any[-99.1781, 19.424]]"
102,1746,"Any[Any[-99.1771, 19.4248], Any[-99.1771, 19.4247], Any[-99.1777, 19.4238], Any[-99.1779, 19.4235], Any[-99.178, 19.423], Any[-99.178, 19.4229]]"
103,9883,"Any[Any[-99.1781, 19.424], Any[-99.1784, 19.4248]]"
